gene_id	GHC.006.output.filtered.bam	GHC.017.output.filtered.bam	GHC.022.output.filtered.bam	GHC.025.output.filtered.bam	JHC.001.output.filtered.bam	JHC.005.output.filtered.bam	SGH.003.output.filtered.bam	SGH.006.output.filtered.bam	SGH.007.output.filtered.bam	UHC.020.output.filtered.bam
PVP01_0006580	0	0	0	0	0	0	0	0	0	0
PVP01_0219800	0	0	0	0	0	0	0	0	0	0
PVP01_0007210	0	0	0	0	0	0	0	0	0	0
PVP01_0208900	94	118	62	107	105	129	129	146	186	284
PVP01_0915200	10	13	14	6	1	19	10	149	7	6
PVP01_0007450	0	0	0	0	0	0	0	0	0	0
PVP01_0003240	0	0	0	0	0	0	0	0	0	0
PVP01_1003000	271	773	37	938	528	666	559	366	520	221
PVP01_1340600	2739	8526	1468	5991	6703	12247	5409	1638	7209	12099
PVP01_0727500	97	418	38	308	241	271	218	291	245	479
PVP01_1004600	49	163	18	81	77	101	108	163	106	71
PVP01_1227600	76	210	32	257	183	270	154	235	164	112
PVP01_0910400	0	0	0	0	0	0	0	0	0	0
PVP01_1125100	54	120	14	118	39	128	85	125	89	63
PVP01_0909800	2	1	0	0	0	4	0	12	0	0
PVP01_1339000	201	664	73	633	788	1787	606	283	773	843
PVP01_1433500	16	67	4	21	18	21	19	65	22	21
PVP01_0507200	101	360	63	173	128	297	153	331	203	296
PVP01_1268200	68	228	33	58	69	170	77	242	103	132
PVP01_0315300	57	330	28	227	204	177	156	203	163	76
PVP01_1023000	13	9	11	1	6	10	6	90	11	11
PVP01_1422600	262	1208	81	871	620	1125	661	486	808	352
PVP01_0010410	0	0	0	0	0	0	0	0	0	0
PVP01_0518400	23	10	14	9	7	82	18	54	7	467
PVP01_1245600	89	300	23	316	249	173	205	113	227	108
PVP01_1437300	91	300	41	202	120	335	115	261	141	229
PVP01_0004690	0	0	0	0	0	0	0	0	0	0
PVP01_0616800	37	199	14	38	112	100	71	71	99	59
PVP01_0601000	16	80	11	22	36	37	23	80	17	20
PVP01_0700300	10	28	4	0	4	65	5	59	9	399
PVP01_0706700	282	1092	156	589	572	1312	348	707	584	1383
PVP01_0934200	51	50	30	29	39	64	48	213	116	188
PVP01_0404500	40	55	26	68	23	70	46	226	39	120
PVP01_0003570	0	0	0	0	0	0	0	0	0	0
PVP01_0006850	0	0	0	0	0	0	0	0	0	0
PVP01_1201400	18	33	3	28	13	62	17	46	17	26
PVP01_0009180	0	0	0	0	0	0	0	0	0	0
PVP01_1234200	30	49	31	14	12	65	33	228	26	57
PVP01_1401100	97	10	91	2	70	105	21	10	33	1737
PVP01_1010800	93	281	17	353	155	202	230	255	197	92
PVP01_0901600	15	6	18	1	13	87	3	53	6	676
PVP01_1430300	4	11	3	2	1	25	4	6	7	11
PVP01_0400300	19	134	0	64	29	0	1	51	72	51
PVP01_0001600	0	0	0	0	0	0	0	0	0	0
PVP01_0708000	95	315	59	243	191	348	174	157	268	576
PVP01_0000680	0	0	0	0	0	0	0	0	0	0
PVP01_1018300	171	987	81	390	666	588	372	652	482	245
PVP01_1025500	243	465	140	160	228	617	352	698	596	1592
PVP01_0723400	26	53	24	19	34	81	41	200	39	29
PVP01_1421400	36	97	9	46	52	89	60	116	63	52
PVP01_0010740	0	0	0	0	0	0	0	0	0	0
PVP01_API00400	0	0	0	0	0	0	0	0	0	0
PVP01_1400400	5	6	2	6	1	0	2	4	4	3
PVP01_0508000	31	171	7	80	75	102	34	130	74	32
PVP01_0007560	0	0	0	0	0	0	0	0	0	0
PVP01_0529700	53	177	20	244	125	156	152	241	76	119
PVP01_0001980	0	0	0	0	0	0	0	0	0	0
PVP01_1114400	79	131	49	46	72	175	75	168	131	506
PVP01_0009540	0	0	0	0	0	0	0	0	0	0
PVP01_0705500	3	7	6	3	8	13	2	39	7	35
PVP01_0010980	0	0	0	0	0	0	0	0	0	0
PVP01_0534700	0	0	0	0	0	0	0	0	0	0
PVP01_0211200	124	211	67	105	114	224	121	672	212	336
PVP01_1203900	99	329	32	149	165	209	189	275	259	268
PVP01_0503600	2	7	8	1	3	32	5	42	2	37
PVP01_1246600	31	204	21	93	90	213	74	133	83	56
PVP01_1413100	65	136	17	63	42	115	116	120	72	77
PVP01_0110400	582	2142	256	1519	1445	1679	1437	1641	1827	2331
PVP01_1217100	4	14	1	4	3	19	6	15	11	6
PVP01_0010470	0	0	0	0	0	0	0	0	0	0
PVP01_1205600	58	90	26	45	27	180	90	159	115	159
PVP01_1329000	243	822	60	614	452	696	378	386	522	712
PVP01_0524700	18	27	16	16	13	31	9	169	17	10
PVP01_0806900	547	1794	117	2228	1516	2275	1376	714	1231	514
PVP01_0009550	0	0	0	0	0	0	0	0	0	0
PVP01_1225000	310	1206	129	771	618	820	715	1088	764	642
PVP01_0523100	42	136	18	49	49	98	85	70	106	96
PVP01_0805800	114	528	47	378	248	521	256	199	291	316
PVP01_1312000	18	48	14	17	18	38	19	114	29	33
PVP01_1412100	85	195	37	172	123	149	150	137	206	217
PVP01_0004740	0	0	0	0	0	0	0	0	0	0
