"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_0411600",23,261
"PVP01_1231800",1,2
"PVP01_1217300",7,67
"PVP01_0002640",0,0
"PVP01_1136600",3,10
"PVP01_0947200",0,0
"PVP01_1453900",138,746
"PVP01_0003690",0,0
"PVP01_0108300",0,8
"PVP01_1238600",1,7
"PVP01_0001540",0,0
"PVP01_0923700",152,885
"PVP01_1467000",3,59
"PVP01_0002850",0,0
"PVP01_0625000",0,0
"PVP01_1274500",0,0
"PVP01_API01000",0,0
"PVP01_1471300",1,15
"PVP01_MIT03400",281,1533
"PVP01_1130300",15,156
"PVP01_1221800",5,54
"PVP01_0818000",360,2710
"PVP01_1449300",1,8
"PVP01_1034900",0,0
"PVP01_0300500",24,93
"PVP01_1141100",76,485
"PVP01_0008970",0,0
"PVP01_1131800",6,26
"PVP01_1227300",7,23
"PVP01_0820000",73,424
"PVP01_0800800",0,3
"PVP01_0003350",0,0
"PVP01_1005200",0,2
"PVP01_0005470",0,0
"PVP01_1319000",4,16
"PVP01_0517700",6,24
"PVP01_0528200",8,27
"PVP01_0315700",0,6
"PVP01_0107800",9,22
"PVP01_0403900",57,212
"PVP01_0506400",70,300
"PVP01_0307500",10,52
"PVP01_1111800",6,16
"PVP01_0927800",1,3
"PVP01_0802800",20,54
"PVP01_0718800",48,370
"PVP01_0003550",0,0
"PVP01_1345700",136,740
"PVP01_1325500",70,168
"PVP01_0829800",85,248
"PVP01_0102700",10,39
"PVP01_1128800",78,354
"PVP01_0712300",109,719
"PVP01_0943500",17,120
"PVP01_0721500",1,15
"PVP01_0940200",191,768
"PVP01_0904600",253,1047
"PVP01_0915500",4,30
"PVP01_0702400",11,38
"PVP01_0120300",0,0
"PVP01_1458100",17,62
"PVP01_1028400",24,88
"PVP01_1445200",13,83
"PVP01_0906800",41,132
"PVP01_1127500",30,235
"PVP01_1035900",0,0
"PVP01_0316900",51,188
"PVP01_1457800",27,60
"PVP01_0000530",0,0
"PVP01_0833200",1,12
"PVP01_0009090",0,0
"PVP01_0717600",5,21
"PVP01_1021300",8,25
"PVP01_0009660",0,0
"PVP01_0005330",0,0
"PVP01_0308300",51,136
"PVP01_0004570",0,0
"PVP01_0414800",20,163
"PVP01_1023800",45,352
"PVP01_1409000",26,74
"PVP01_1032400",14,45
"PVP01_0828900",73,254
"PVP01_0801500",0,25
"PVP01_1448500",73,447
"PVP01_1008000",19,65
"PVP01_0001670",0,0
"PVP01_1261700",21,102
"PVP01_1025600",33,193
"PVP01_1467800",9,79
"PVP01_1023100",5,3
"PVP01_0927500",80,351
"PVP01_0941100",3,13
"PVP01_1215500",26,341
"PVP01_0009900",0,0
"PVP01_0008570",0,0
"PVP01_1347400",0,0
"PVP01_1469100",0,22
"PVP01_0001860",0,0
"PVP01_0402000",5,63
"PVP01_1322700",58,522
"PVP01_1455300",158,743
"PVP01_1302800",3,23
"PVP01_1231500",5,44
"PVP01_1319600",4,54
"PVP01_1466400",7,35
"PVP01_1407900",7,45
"PVP01_0000640",0,0
"PVP01_0005110",0,0
"PVP01_0005650",0,0
"PVP01_1317800",10,59
"PVP01_1119400",81,406
"PVP01_1019300",42,148
"PVP01_1438100",6,27
"PVP01_0511700",27,258
"PVP01_0116600",44,217
"PVP01_0509000",1,1
"PVP01_0808700",14,64
"PVP01_0501000",0,5
"PVP01_1267400",24,106
"PVP01_0004630",0,0
"PVP01_1319100",218,1356
"PVP01_0813500",104,422
"PVP01_1103800",115,680
"PVP01_1455900",53,222
"PVP01_0946800",0,0
"PVP01_0105300",64,293
"PVP01_0608700",0,7
"PVP01_1450200",22,205
"PVP01_1117700",40,307
"PVP01_0517500",4,17
"PVP01_1112500",2,19
"PVP01_0009490",0,0
"PVP01_0412000",25,99
"PVP01_0305200",0,0
"PVP01_1144800",92,411
"PVP01_0508300",37,160
"PVP01_0408400",54,291
"PVP01_0830400",62,374
"PVP01_API03600",0,0
"PVP01_0009410",0,0
"PVP01_0947100",0,0
"PVP01_0118200",2,24
"PVP01_0004370",0,0
"PVP01_0316300",30,133
"PVP01_1410200",43,205
"PVP01_0006310",0,0
"PVP01_0000350",0,0
"PVP01_1252700",26,94
"PVP01_0005890",0,0
"PVP01_1412700",49,273
"PVP01_0728300",4,21
"PVP01_0834600",55,423
"PVP01_1023600",14,106
"PVP01_0520000",6,87
"PVP01_0121600",0,0
"PVP01_0112500",0,7
"PVP01_0522100",5,5
"PVP01_1230400",139,779
"PVP01_0722000",1,6
"PVP01_1402200",23,27
"PVP01_0807800",358,1133
"PVP01_0010890",0,0
"PVP01_1105400",95,489
"PVP01_0422800",0,0
"PVP01_0006260",0,0
"PVP01_0601400",34,215
"PVP01_1213100",3,11
"PVP01_0001560",0,0
"PVP01_1336700",40,196
"PVP01_0905600",20,99
"PVP01_0218300",0,0
"PVP01_0521100",4,29
"PVP01_0721900",47,151
"PVP01_1461000",120,534
"PVP01_0822200",1,18
"PVP01_0828300",36,209
"PVP01_0718700",34,192
"PVP01_0002080",0,0
"PVP01_0214600",38,163
"PVP01_1013700",1,33
"PVP01_0516200",20,69
"PVP01_0002390",0,0
"PVP01_0007440",0,0
"PVP01_1431000",163,1005
"PVP01_1443700",50,171
"PVP01_0320000",3,36
"PVP01_0308800",28,100
"PVP01_0111100",8,34
"PVP01_0111800",22,66
"PVP01_0416400",129,741
"PVP01_0008140",0,0
"PVP01_0703100",0,18
"PVP01_0806500",4,11
"PVP01_0115900",45,248
"PVP01_0819300",5,18
"PVP01_0208700",17,65
"PVP01_0006450",0,0
"PVP01_1117100",26,80
"PVP01_0401600",1,19
"PVP01_0006280",0,0
"PVP01_1440900",10,24
"PVP01_0003790",0,0
"PVP01_1211000",1564,7234
"PVP01_1125400",23,116
"PVP01_0116700",147,1281
"PVP01_1027000",7,9
"PVP01_0419000",0,13
"PVP01_1134600",10,80
"PVP01_0002010",0,0
"PVP01_1270800",802,5495
"PVP01_0003980",0,0
"PVP01_0732700",103,506
"PVP01_0000070",0,0
"PVP01_1427000",18,25
"PVP01_1445800",47,212
"PVP01_0812700",177,863
"PVP01_1022400",4,5
"PVP01_0933700",0,4
"PVP01_0504200",11,36
"PVP01_0009950",0,0
"PVP01_1262600",7,22
"PVP01_1423300",84,518
"PVP01_1032500",4,9
"PVP01_0301400",2,8
"PVP01_0004920",0,0
"PVP01_0710700",79,498
"PVP01_1124500",28,119
"PVP01_1103700",33,153
"PVP01_0831000",47,158
"PVP01_1409800",220,699
"PVP01_1405900",108,365
"PVP01_0617100",36,140
"PVP01_0006320",0,0
"PVP01_1334700",5,7
"PVP01_0218400",0,0
"PVP01_0001410",0,0
"PVP01_0001680",0,0
"PVP01_1305900",4,9
"PVP01_0009820",0,0
"PVP01_0517400",2,0
"PVP01_1220500",10,45
"PVP01_1306900",6,15
"PVP01_1025200",40,157
"PVP01_0006540",0,0
"PVP01_0407000",1,4
"PVP01_MIT01800",0,0
"PVP01_0004130",0,0
"PVP01_0800700",53,349
"PVP01_1224900",17,67
"PVP01_0311100",48,242
"PVP01_0723600",24,201
"PVP01_1226000",0,0
"PVP01_1209400",84,299
"PVP01_0526200",4,14
"PVP01_API02600",0,0
"PVP01_0009780",0,0
"PVP01_0830000",450,2365
"PVP01_0306000",65,399
"PVP01_1100600",2,21
"PVP01_0907100",10,53
"PVP01_0931000",1,5
"PVP01_0424000",0,0
"PVP01_0407600",39,240
"PVP01_0209800",30,143
"PVP01_1347600",0,0
"PVP01_0203100",1,0
"PVP01_0001780",0,0
"PVP01_1273000",0,0
"PVP01_0801000",1,4
"PVP01_0521000",32,154
"PVP01_0720900",181,1225
"PVP01_0404900",3,21
"PVP01_0102500",41,177
"PVP01_0617900",18,160
"PVP01_1113900",12,38
"PVP01_0204100",6,55
"PVP01_0804700",21,64
"PVP01_0819400",29,150
"PVP01_0912900",206,998
"PVP01_0000250",0,0
"PVP01_0907900",118,560
"PVP01_0001320",0,0
"PVP01_0820400",7,49
"PVP01_1013500",35,168
"PVP01_1309900",78,389
"PVP01_1212400",3,23
"PVP01_0929800",41,204
"PVP01_1116700",113,757
"PVP01_0517800",1,28
"PVP01_1106800",0,13
"PVP01_0610400",20,119
"PVP01_1318700",28,123
"PVP01_0007430",0,0
"PVP01_1128400",75,360
"PVP01_0813900",56,213
"PVP01_0008290",0,0
"PVP01_1211600",2,4
"PVP01_0009320",0,0
"PVP01_0818900",130,615
"PVP01_0114100",4,29
"PVP01_0617200",8,34
"PVP01_1235300",54,247
"PVP01_0206400",11,68
"PVP01_0533100",0,0
"PVP01_0002440",0,0
"PVP01_0000620",0,0
"PVP01_0113900",60,275
"PVP01_1260200",62,447
"PVP01_0618100",1,32
"PVP01_1002800",35,83
"PVP01_0005240",0,0
"PVP01_1137700",11,38
"PVP01_1015700",0,5
"PVP01_1449600",134,583
"PVP01_1030700",10,26
"PVP01_0009050",0,0
"PVP01_0005350",0,0
"PVP01_0808800",1,4
"PVP01_0804100",57,175
"PVP01_0940100",127,642
"PVP01_1246800",6,46
"PVP01_0010800",0,0
"PVP01_1108400",13,27
"PVP01_0000360",0,0
"PVP01_1208200",1,8
"PVP01_1423800",1,11
"PVP01_1308800",28,226
"PVP01_0811200",84,315
"PVP01_0007580",0,0
"PVP01_0009720",0,0
"PVP01_1465600",5,26
"PVP01_1400500",0,14
"PVP01_0007950",0,0
"PVP01_0009270",0,0
"PVP01_1456000",2,3
"PVP01_0528700",35,160
"PVP01_0530200",282,1310
"PVP01_0921600",7,28
"PVP01_0115500",32,208
"PVP01_0404000",9,59
"PVP01_0003590",0,0
"PVP01_1140100",1,16
"PVP01_0409100",22,109
"PVP01_1418600",34,169
"PVP01_1315200",4,16
"PVP01_0829400",1,2
"PVP01_0101900",40,148
"PVP01_0938000",3,15
"PVP01_1209300",10,25
"PVP01_1225900",0,32
"PVP01_0924600",68,401
"PVP01_1222100",2,19
"PVP01_API04500",0,0
"PVP01_1335600",10,43
"PVP01_1309200",215,1084
"PVP01_1238000",45,294
"PVP01_1331400",73,315
"PVP01_0710800",93,406
"PVP01_0107300",0,0
"PVP01_0830600",33,140
"PVP01_1338100",37,90
"PVP01_MIT02500",0,1
"PVP01_0820200",29,192
"PVP01_1204100",35,188
"PVP01_0010160",0,0
"PVP01_0004880",0,0
"PVP01_1324800",3,5
"PVP01_0909300",87,568
"PVP01_1471900",158,1179
"PVP01_0525900",4,17
"PVP01_0010670",0,0
"PVP01_1449000",23,81
"PVP01_0605200",9,30
"PVP01_1225100",75,299
"PVP01_1242800",1,29
"PVP01_0947700",0,0
"PVP01_0009330",0,0
"PVP01_0000740",0,0
"PVP01_0121000",0,0
"PVP01_0005060",0,0
"PVP01_0514600",180,1634
"PVP01_0523800",21,88
"PVP01_1015300",4,249
"PVP01_0001570",0,0
"PVP01_0838600",44,475
"PVP01_1123400",3,3
"PVP01_1007500",49,112
"PVP01_1310300",1,8
"PVP01_0526800",403,2284
"PVP01_0732000",5,20
"PVP01_0609600",290,1738
"PVP01_1428600",89,327
"PVP01_0510800",29,211
"PVP01_0010110",0,0
"PVP01_0005800",0,0
"PVP01_1116000",6,13
"PVP01_1304900",145,911
"PVP01_0005920",0,0
"PVP01_1128100",62,272
"PVP01_1457600",32,127
"PVP01_1321900",50,204
"PVP01_0010710",0,0
"PVP01_0009860",0,0
"PVP01_0516900",15,125
"PVP01_0708900",62,436
"PVP01_1263800",2,16
"PVP01_0816300",16,158
"PVP01_1346600",0,6
"PVP01_0004310",0,0
"PVP01_0615900",13,65
"PVP01_1130500",441,2610
"PVP01_0810700",3,10
"PVP01_0002210",0,0
"PVP01_0004810",0,0
"PVP01_1241300",82,371
"PVP01_0217200",4,14
"PVP01_0409800",2,43
"PVP01_1249600",16,84
"PVP01_1226300",18,47
"PVP01_0942400",4,14
"PVP01_0609500",138,831
"PVP01_0601800",13,33
"PVP01_1333600",22,81
"PVP01_0202100",21,148
"PVP01_1226500",17,142
"PVP01_1338400",24,87
"PVP01_0500700",1,2
"PVP01_0010440",0,0
"PVP01_0809400",13,58
"PVP01_1451100",2,21
"PVP01_1326300",96,383
"PVP01_1119500",314,1686
"PVP01_0004030",0,0
"PVP01_1141200",45,299
"PVP01_0916800",9,71
"PVP01_0422700",0,0
"PVP01_1454800",54,306
"PVP01_1109800",24,164
"PVP01_1446000",8,91
"PVP01_API02200",0,0
"PVP01_1135900",17,43
"PVP01_1422900",57,216
"PVP01_1459500",325,2598
"PVP01_0828700",0,6
"PVP01_0904700",17,62
"PVP01_0005820",0,0
"PVP01_1213400",72,282
"PVP01_0704600",38,228
"PVP01_0701700",12,51
"PVP01_1303500",0,3
"PVP01_0801900",148,658
"PVP01_0001190",0,0
"PVP01_0008200",0,0
"PVP01_1413450",2,6
"PVP01_0001380",0,0
"PVP01_0824400",40,172
"PVP01_0706200",12,56
"PVP01_1140500",3,41
"PVP01_0400200",0,13
"PVP01_0835300",28,99
"PVP01_0115200",7,47
"PVP01_1268000",37,86
"PVP01_0405300",14,78
"PVP01_0009510",0,0
"PVP01_0202400",6,5
"PVP01_0805600",95,441
"PVP01_1425100",37,151
"PVP01_1454600",16,87
"PVP01_0005080",0,0
"PVP01_0311900",21,30
"PVP01_0001490",0,0
"PVP01_1257500",18,60
"PVP01_0939500",34,51
"PVP01_1141400",69,197
"PVP01_1122100",1,3
"PVP01_0010940",0,0
"PVP01_1449200",3,13
"PVP01_0909500",69,506
"PVP01_0616000",1,8
"PVP01_0001350",0,0
"PVP01_0006730",0,0
"PVP01_0800600",9,31
"PVP01_0819600",11,8
"PVP01_0103800",24,116
"PVP01_1440400",19,48
"PVP01_1434200",78,432
"PVP01_0003680",0,0
"PVP01_0504400",22,75
"PVP01_1200900",23,29
"PVP01_0010970",0,0
"PVP01_1328100",30,102
"PVP01_0710400",31,136
"PVP01_1213000",7,26
"PVP01_0515600",3,14
"PVP01_0008690",0,0
"PVP01_0304400",49,295
"PVP01_0827200",16,96
"PVP01_0010570",0,0
"PVP01_0112000",12,82
"PVP01_1434000",0,3
"PVP01_0004980",0,0
"PVP01_0010380",0,0
"PVP01_1225500",130,777
"PVP01_0116200",77,306
"PVP01_0002380",0,0
"PVP01_0313500",30,200
"PVP01_1228800",917,6910
"PVP01_0623500",120,379
"PVP01_0837800",84,448
"PVP01_1249900",9,66
"PVP01_0905300",162,621
"PVP01_0005540",0,0
"PVP01_1342700",5,19
"PVP01_0315200",37,172
"PVP01_0101600",7,26
"PVP01_API03700",0,0
"PVP01_0004910",0,0
"PVP01_0010430",0,0
"PVP01_0804900",0,5
"PVP01_0006410",0,0
"PVP01_1108600",164,741
"PVP01_1337200",70,362
"PVP01_0504000",30,105
"PVP01_0739000",0,0
"PVP01_0805900",12,55
"PVP01_0009480",0,0
"PVP01_0004430",0,0
"PVP01_0733000",18,166
"PVP01_0525300",24,115
"PVP01_0515100",21,132
"PVP01_1420600",182,712
"PVP01_1452000",59,215
"PVP01_0808600",63,287
"PVP01_0413500",7,43
"PVP01_1236800",9,28
"PVP01_0010310",0,0
"PVP01_0306600",55,313
"PVP01_1343600",5,12
"PVP01_1114000",2,2
"PVP01_0518300",0,4
"PVP01_1313600",10,95
"PVP01_1251400",56,259
"PVP01_1311300",27,163
"PVP01_1301600",501,2705
"PVP01_API04600",0,0
"PVP01_0005120",0,0
"PVP01_0000110",0,0
"PVP01_1113800",293,2202
"PVP01_MIT03500",0,0
"PVP01_1240600",7,26
"PVP01_0007910",0,0
"PVP01_1271700",0,0
"PVP01_0919500",16,58
"PVP01_1303200",13,51
"PVP01_1314900",43,114
"PVP01_0004670",0,0
"PVP01_0611300",21,116
"PVP01_0008890",0,0
"PVP01_0607400",50,228
"PVP01_1016400",12,81
"PVP01_1250100",19,82
"PVP01_0005980",0,0
"PVP01_1131500",59,367
"PVP01_1442200",273,1319
"PVP01_1117200",7,48
"PVP01_0108700",127,812
"PVP01_1458500",132,379
"PVP01_1322600",310,2443
"PVP01_1233400",8,35
"PVP01_0806300",5,19
"PVP01_1130600",5,81
"PVP01_0700400",5,4
"PVP01_1344000",45,209
"PVP01_1262900",445,1833
"PVP01_1335100",12,34
"PVP01_1309600",3,2
"PVP01_0002050",0,0
"PVP01_1435600",12,46
"PVP01_1110200",443,2682
"PVP01_0216800",111,688
"PVP01_0839400",0,0
"PVP01_0533600",0,0
"PVP01_0808900",46,203
"PVP01_0735000",4,29
"PVP01_1314800",11,54
"PVP01_0500200",1,5
"PVP01_0107100",2,11
"PVP01_1125000",2,25
"PVP01_0810800",4,16
"PVP01_1233300",17,82
"PVP01_0212100",187,642
"PVP01_1120400",15,44
"PVP01_1415100",122,532
"PVP01_0605400",22,103
"PVP01_0927000",56,279
"PVP01_0526300",79,301
"PVP01_0007540",0,0
"PVP01_1118000",22,92
"PVP01_1107400",14,67
"PVP01_0401400",7,37
"PVP01_0002560",0,0
"PVP01_0321000",48,400
"PVP01_0416000",18,87
"PVP01_0006050",0,0
"PVP01_1265200",51,475
"PVP01_0713600",5,20
"PVP01_1462300",59,197
"PVP01_0100200",15,55
"PVP01_0514000",2,13
"PVP01_1320900",301,1732
"PVP01_0002140",0,0
"PVP01_0000450",0,0
"PVP01_1251800",2,8
"PVP01_0910900",81,467
"PVP01_0618400",6,44
"PVP01_0717100",59,320
"PVP01_0310000",131,621
"PVP01_1457500",39,182
"PVP01_0518200",44,225
"PVP01_1209500",0,1
"PVP01_0002660",0,0
"PVP01_1306600",61,260
"PVP01_1407800",4,25
"PVP01_1267100",16,39
"PVP01_1128500",73,413
"PVP01_API00800",0,0
"PVP01_1137100",25,152
"PVP01_0416500",31,157
"PVP01_0006740",0,0
"PVP01_1201300",34,124
"PVP01_1104400",32,132
"PVP01_0941600",15,107
"PVP01_1223500",18,100
"PVP01_0935500",117,548
"PVP01_0802500",97,356
"PVP01_1305700",8,43
"PVP01_0618900",14,36
"PVP01_0002430",0,0
"PVP01_0903900",3,20
"PVP01_0727200",6,488
"PVP01_1141500",198,1208
"PVP01_1459000",92,474
"PVP01_0006440",0,0
"PVP01_0906000",2,15
"PVP01_1415700",8,26
"PVP01_1019900",10,32
"PVP01_0213300",27,74
"PVP01_0950000",0,0
"PVP01_0409500",50,245
"PVP01_0911800",25,54
"PVP01_0810900",3,7
"PVP01_1022600",31,104
"PVP01_MIT00600",0,1
"PVP01_0840300",0,0
"PVP01_0837300",34,52
"PVP01_1428900",203,889
"PVP01_1322000",175,893
"PVP01_0824200",31,218
"PVP01_1223600",16,18
"PVP01_0914400",42,100
"PVP01_1138100",4,50
"PVP01_1147500",0,27
"PVP01_1406500",4,5
"PVP01_0617700",6,27
"PVP01_0700100",5,18
"PVP01_0811400",40,181
"PVP01_1119700",48,368
"PVP01_1221200",2,15
"PVP01_1121200",10,55
"PVP01_0534500",0,0
"PVP01_1236600",6,43
"PVP01_API02500",0,0
"PVP01_1414900",27,111
"PVP01_0529000",22,104
"PVP01_0002610",0,0
"PVP01_0722900",108,407
"PVP01_MIT02000",0,0
"PVP01_0008940",0,0
"PVP01_1207400",6,31
"PVP01_0304800",80,392
"PVP01_1433800",3,16
"PVP01_0515400",15,106
"PVP01_0006370",0,0
"PVP01_API05200",0,0
"PVP01_1431600",294,1298
"PVP01_0308400",35,214
"PVP01_1419800",6,56
"PVP01_1452600",6,40
"PVP01_1219100",88,410
"PVP01_0807300",13,50
"PVP01_0924900",43,225
"PVP01_0711300",7,19
"PVP01_1435700",65,324
"PVP01_0119200",0,0
"PVP01_1263300",50,227
"PVP01_1421200",1,18
"PVP01_1018600",106,409
"PVP01_1429100",50,213
"PVP01_1317700",3,13
"PVP01_0942900",58,252
"PVP01_0010840",0,0
"PVP01_0720500",19,52
"PVP01_1129700",112,589
"PVP01_0009750",0,0
"PVP01_0523600",1,5
"PVP01_0823500",65,209
"PVP01_1112600",42,187
"PVP01_1260600",24,112
"PVP01_1006100",1,0
"PVP01_1136700",3,22
"PVP01_0404600",24,92
"PVP01_0829300",7,17
"PVP01_0118500",0,0
"PVP01_1014300",15,141
"PVP01_0010600",0,0
"PVP01_0003730",0,0
"PVP01_0300600",2,5
"PVP01_0605000",96,588
"PVP01_0723700",6,34
"PVP01_0822600",172,652
"PVP01_1464100",100,670
"PVP01_0911200",341,2070
"PVP01_1409400",174,596
"PVP01_0315900",8,56
"PVP01_1271800",0,0
"PVP01_0001630",0,0
"PVP01_0829600",3,5
"PVP01_1034300",0,0
"PVP01_0948200",0,0
"PVP01_0836900",2,17
"PVP01_0934900",16,51
"PVP01_1230900",13,101
"PVP01_0816500",51,207
"PVP01_1436100",35,110
"PVP01_1028900",8,42
"PVP01_0926200",2,10
"PVP01_0938100",12,76
"PVP01_0736800",0,0
"PVP01_1320600",27,77
"PVP01_0003330",0,0
"PVP01_0619000",6,5
"PVP01_1334300",324,2141
"PVP01_1260700",154,818
"PVP01_0816600",11,55
"PVP01_0105600",43,281
"PVP01_1218800",7,55
"PVP01_0007850",0,0
"PVP01_0215100",87,415
"PVP01_1114800",15,88
"PVP01_0417700",92,280
"PVP01_0001240",0,0
"PVP01_0925200",1,19
"PVP01_1129500",14,69
"PVP01_0602700",20,123
"PVP01_0712100",39,147
"PVP01_0420100",6,12
"PVP01_1331500",622,2492
"PVP01_0925900",0,1
"PVP01_0613600",13,48
"PVP01_0422600",0,0
"PVP01_MIT01600",0,0
"PVP01_1341400",8,221
"PVP01_0007520",0,0
"PVP01_1130000",80,445
"PVP01_1458200",24,80
"PVP01_1014000",10,42
"PVP01_0212700",65,372
"PVP01_0112200",28,101
"PVP01_1252300",35,165
"PVP01_0827700",13,37
"PVP01_1312800",7,29
"PVP01_1416800",103,350
"PVP01_1033500",0,0
"PVP01_0001940",0,0
"PVP01_1236100",5,14
"PVP01_0933600",1,2
"PVP01_1200800",183,1609
"PVP01_1024500",1,5
"PVP01_0802400",37,276
"PVP01_1136300",2,17
"PVP01_1409300",10,25
"PVP01_0118700",0,0
"PVP01_1109200",97,634
"PVP01_1463300",52,198
"PVP01_0301900",3,4
"PVP01_1412300",72,327
"PVP01_0317700",5,31
"PVP01_1304300",117,496
"PVP01_0002960",0,0
"PVP01_0914900",20,100
"PVP01_1109300",10,194
"PVP01_API04000",0,0
"PVP01_1435500",13,64
"PVP01_0715600",3,31
"PVP01_0008380",0,0
"PVP01_1466000",76,283
"PVP01_0820300",24,101
"PVP01_0408900",75,359
"PVP01_0622700",9,64
"PVP01_0835400",120,461
"PVP01_1146800",49,289
"PVP01_1347500",0,0
"PVP01_0007940",0,0
"PVP01_1237800",1,10
"PVP01_0713500",212,651
"PVP01_0829100",22,39
"PVP01_0812900",28,127
"PVP01_0711900",37,191
"PVP01_1239600",130,497
"PVP01_1219900",31,122
"PVP01_1020000",1,7
"PVP01_0419900",12,94
"PVP01_0902600",34,61
"PVP01_0003170",0,0
"PVP01_0731300",4,12
"PVP01_0701100",182,678
"PVP01_1014900",45,348
"PVP01_1122900",7,35
"PVP01_1304200",124,380
"PVP01_0609900",13,26
"PVP01_0936300",36,187
"PVP01_1339700",45,161
"PVP01_0203800",40,290
"PVP01_0209000",44,231
"PVP01_0734700",0,0
"PVP01_0010220",0,0
"PVP01_0003380",0,0
"PVP01_1473000",0,0
"PVP01_1121800",45,293
"PVP01_0521800",42,204
"PVP01_0519600",57,378
"PVP01_0218800",0,0
"PVP01_0002930",0,0
"PVP01_0936400",27,158
"PVP01_0005480",0,0
"PVP01_1463200",1,9
"PVP01_0521200",7,28
"PVP01_0923600",96,473
"PVP01_0702200",154,706
"PVP01_0204200",1,7
"PVP01_0001710",0,0
"PVP01_1212700",86,426
"PVP01_0413000",16,45
"PVP01_0000440",0,0
"PVP01_0005750",0,0
"PVP01_0008780",0,0
"PVP01_0737400",0,0
"PVP01_1466500",6,14
"PVP01_0214200",13,56
"PVP01_1107600",181,897
"PVP01_0718200",90,479
"PVP01_1302200",14,125
"PVP01_0206900",6,29
"PVP01_0001070",0,0
"PVP01_0005950",0,0
"PVP01_0008770",0,0
"PVP01_1204500",95,383
"PVP01_1337800",98,544
"PVP01_1116200",101,569
"PVP01_1243600",1407,13191
"PVP01_1429600",8,41
"PVP01_0004400",0,0
"PVP01_0113300",12,62
"PVP01_0011070",0,0
"PVP01_1411100",91,440
"PVP01_0934000",20,95
"PVP01_0302600",30,240
"PVP01_1335000",29,130
"PVP01_0835700",2,11
"PVP01_0807700",249,1167
"PVP01_0923500",260,1307
"PVP01_0102000",14,36
"PVP01_0203600",16,86
"PVP01_1340700",27,115
"PVP01_1313500",13,47
"PVP01_0814800",47,136
"PVP01_1130800",5,13
"PVP01_0009640",0,0
"PVP01_API03400",0,0
"PVP01_0835600",9,42
"PVP01_0941800",35,68
"PVP01_0500400",2,6
"PVP01_1269100",367,2154
"PVP01_0918700",38,173
"PVP01_0005400",0,0
"PVP01_1332500",56,348
"PVP01_1326900",31,169
"PVP01_1305200",59,226
"PVP01_0602900",13,171
"PVP01_1332600",9,28
"PVP01_0823400",14,51
"PVP01_1232500",120,374
"PVP01_0416300",26,68
"PVP01_0520300",4,34
"PVP01_0203200",20,113
"PVP01_0404400",2,37
"PVP01_0939800",55,248
"PVP01_1121300",141,628
"PVP01_1018100",0,6
"PVP01_1115100",96,462
"PVP01_1232700",7,10
"PVP01_0502500",3,12
"PVP01_0928400",11,69
"PVP01_0822700",43,255
"PVP01_1437400",23,121
"PVP01_0803100",12,55
"PVP01_MIT03300",163,907
"PVP01_0005600",0,0
"PVP01_0011110",0,0
"PVP01_0216300",17,27
"PVP01_0203300",12,34
"PVP01_0605700",15,61
"PVP01_1333700",19,130
"PVP01_0004700",0,0
"PVP01_0813400",64,183
"PVP01_1465700",42,204
"PVP01_1429000",137,792
"PVP01_1020900",2,3
"PVP01_1269600",1,4
"PVP01_0107700",21,96
"PVP01_1440600",48,232
"PVP01_0218000",0,0
"PVP01_0004470",0,0
"PVP01_1133600",55,399
"PVP01_0520100",18,120
"PVP01_1402700",85,479
"PVP01_1416200",94,557
"PVP01_1247400",33,111
"PVP01_1115900",51,286
"PVP01_0002710",0,0
"PVP01_1405500",28,172
"PVP01_0317500",2,10
"PVP01_0900100",0,0
"PVP01_1414700",246,1146
"PVP01_0010320",0,0
"PVP01_0531000",24,158
"PVP01_1207200",53,250
"PVP01_1319500",10,47
"PVP01_1421100",6,39
"PVP01_1312400",66,493
"PVP01_0000930",0,0
"PVP01_1007000",19,80
"PVP01_0423000",0,0
"PVP01_1000300",1189,4811
"PVP01_1239000",51,239
"PVP01_0811000",23,64
"PVP01_1240900",2,22
"PVP01_0000660",0,0
"PVP01_1013800",8,19
"PVP01_1250500",44,77
"PVP01_1107000",1,6
"PVP01_0001580",0,0
"PVP01_1234600",43,304
"PVP01_0422500",0,0
"PVP01_0004000",0,0
"PVP01_0738500",0,0
"PVP01_1325900",32,151
"PVP01_0005150",0,0
"PVP01_1456500",30,51
"PVP01_0824800",56,230
"PVP01_1442600",14,43
"PVP01_0003180",0,0
"PVP01_0009130",0,0
"PVP01_0011040",0,0
"PVP01_1132600",57,310
"PVP01_0006860",0,0
"PVP01_0736500",0,0
"PVP01_0532900",0,0
"PVP01_1254300",16,150
"PVP01_1269900",3,4
"PVP01_1344500",1,9
"PVP01_0005790",0,0
"PVP01_1137800",36,153
"PVP01_1472200",24,128
"PVP01_0316500",58,351
"PVP01_0314100",9,89
"PVP01_1116400",37,211
"PVP01_0712000",58,369
"PVP01_1402000",2,13
"PVP01_1261600",19,89
"PVP01_1123500",8,31
"PVP01_1117500",29,119
"PVP01_1007700",17,102
"PVP01_0616500",46,195
"PVP01_0003030",0,0
"PVP01_0943100",15,53
"PVP01_0306500",6,36
"PVP01_0911900",18,47
"PVP01_0614600",5,15
"PVP01_0008650",0,0
"PVP01_0600900",10,150
"PVP01_0736200",0,0
"PVP01_0716300",4,8
