"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_0512100",13,109
"PVP01_0422000",0,0
"PVP01_1107700",52,208
"PVP01_0410000",73,269
"PVP01_0302500",1,7
"PVP01_1336200",172,1366
"PVP01_0010050",0,0
"PVP01_1145900",36,137
"PVP01_1343700",5,20
"PVP01_1408500",5,44
"PVP01_0837600",77,283
"PVP01_0832100",42,125
"PVP01_0003130",0,0
"PVP01_1125700",16,124
"PVP01_1304600",133,634
"PVP01_1328300",1,4
"PVP01_1205500",21,67
"PVP01_1334900",27,106
"PVP01_1101400",4,15
"PVP01_1471600",19,250
"PVP01_0002240",0,0
"PVP01_0317900",40,162
"PVP01_1018900",56,252
"PVP01_0812800",232,1181
"PVP01_1342500",132,654
"PVP01_0817000",3,19
"PVP01_1027700",37,289
"PVP01_0317400",4,21
"PVP01_1315300",9,61
"PVP01_0509400",50,195
"PVP01_1126500",29,109
"PVP01_1327200",21,271
"PVP01_0005070",0,0
"PVP01_0000180",0,0
"PVP01_1326200",29,143
"PVP01_1457000",28,173
"PVP01_1313100",36,129
"PVP01_0007220",0,0
"PVP01_0003800",0,0
"PVP01_1454200",15,61
"PVP01_1226200",185,896
"PVP01_0731500",140,546
"PVP01_1232200",26,137
"PVP01_1262200",2,5
"PVP01_0010540",0,0
"PVP01_0416900",24,82
"PVP01_1430800",2,30
"PVP01_0936600",1,3
"PVP01_0010630",0,0
"PVP01_1239100",22,86
"PVP01_0904300",246,1375
"PVP01_0624500",31,129
"PVP01_0409300",88,342
"PVP01_0006240",0,0
"PVP01_MIT00400",0,0
"PVP01_0006950",0,0
"PVP01_0705300",0,3
"PVP01_0903700",3,16
"PVP01_1318600",22,140
"PVP01_0602400",13,39
"PVP01_0117500",48,181
"PVP01_0839900",0,0
"PVP01_0715200",1,2
"PVP01_0002740",0,0
"PVP01_1303600",60,349
"PVP01_0917000",18,78
"PVP01_1339300",88,501
"PVP01_1318200",53,215
"PVP01_0515500",26,238
"PVP01_0735300",16,141
"PVP01_1023200",70,533
"PVP01_1432400",14,66
"PVP01_0528500",53,191
"PVP01_0816100",13,59
"PVP01_1320300",6,33
"PVP01_0000720",0,0
"PVP01_1208800",57,294
"PVP01_0713700",38,185
"PVP01_0709200",41,136
"PVP01_0008460",0,0
"PVP01_0949000",0,0
"PVP01_1306000",9,27
"PVP01_1011900",10,47
"PVP01_1028300",73,332
"PVP01_1321100",59,278
"PVP01_0210300",28,180
"PVP01_1241800",18,72
"PVP01_0514300",274,1480
"PVP01_1427100",94,418
"PVP01_API02900",0,0
"PVP01_0109400",24,112
"PVP01_0302400",1,6
"PVP01_0904500",52,204
"PVP01_1433300",8,46
"PVP01_1467100",5,50
"PVP01_0003760",0,0
"PVP01_1004200",4,15
"PVP01_0001720",0,0
"PVP01_0530300",3,9
"PVP01_0000130",0,0
"PVP01_0815900",1,16
"PVP01_0401700",13,21
"PVP01_1465200",5,41
"PVP01_1030800",603,4695
"PVP01_0909700",9,59
"PVP01_0524800",3,5
"PVP01_0820600",1,3
"PVP01_1130100",63,170
"PVP01_0203900",26,81
"PVP01_0503200",18,110
"PVP01_0008270",0,0
"PVP01_0100800",10,68
"PVP01_1119600",170,716
"PVP01_1021200",26,92
"PVP01_0903800",9,44
"PVP01_0006690",0,0
"PVP01_1201900",68,212
"PVP01_1200100",0,0
"PVP01_0301500",0,7
"PVP01_1118300",26,94
"PVP01_0508700",0,4
"PVP01_1260800",40,215
"PVP01_1104700",20,152
"PVP01_1432000",4,35
"PVP01_0801400",4,14
"PVP01_1025700",19,81
"PVP01_0944000",0,0
"PVP01_1417100",20,128
"PVP01_0408000",7,25
"PVP01_0006890",0,0
"PVP01_0009980",0,0
"PVP01_0114900",3,44
"PVP01_0805700",38,162
"PVP01_0946000",0,0
"PVP01_1142700",9,51
"PVP01_1231400",0,15
"PVP01_1401200",0,36
"PVP01_0009690",0,0
"PVP01_0711000",14,56
"PVP01_0500600",17,53
"PVP01_0825800",2,12
"PVP01_0002320",0,0
"PVP01_0917300",24,108
"PVP01_0840100",0,0
"PVP01_1468200",9,26
"PVP01_0730400",74,512
"PVP01_1467400",38,136
"PVP01_0932100",70,354
"PVP01_0513300",1,12
"PVP01_0912300",1,29
"PVP01_1338500",97,553
